Key,Summary
PD-724,Equipment Requirements
PD-752,Minimum Hardware Requirements
PD-754,Processor: Intel Core i5 4570R 3.20 GHz or better
PD-755,Graphics: Intel Iris Pro graphics 5200
PD-756,Memory: 4GB RAM
PD-757,Storage device: 64GB mSATA SSD
PD-758,Sensor Hardware: Kinect for Windows (Version 2)
PD-759,Resolution: 1280x720 minimum display resolution
PD-760,Connector type: USB port
PD-761,Internet: minimum 1.5Mbps
PD-753,Minimum Software Requirements
PD-762,Operating System: Windows 8
PD-763,Optional Hardware
PD-764,Television
PD-958,Keyboard
PD-766,"HDMI, DVI, or VGA cable"
PD-723,General Requirements
PD-716,Application Connectivity
PD-964,"Prior to login, connectivity and accessibility to the Reflexion API shall be verified."
PD-965,The patient username and password shall be verified
PD-699,"Upon login, system shall determine if patient data is waiting to upload."
PD-707,"When patient data is detected as requiring upload, the upload will initiate immediately following patient authentication."
PD-706,"When data from a past exercise session is being updated, alert the user with a message"
PD-694,"Once a logged in user retrieves their therapy data, they shall be able to complete the therapy session successfully."
PD-708,System shall attempt to upload patient exercise data once connection has been re-established
PD-967,"In the event of an unprocessable upload, data shall be securely preserved on the user's machine."
PD-711,Application Navigation
UR-1191,The user shall be able to navigate the system using the following options:
UR-1193,Gesture control
UR-1198,The user must be calibrated and have an active skeleton to enable gesture control.
UR-1197,Moving a single hand shall move the cursor.
UR-1199,Hovering the cursor over a menu item shall enable selection.
UR-1221,Pause Gesture
UR-1222,The user shall be able to initiate the Pause Menu by extending either arm at a 90 degree angle.
UR-1194,Keyboard
UR-1216,A virtual keyboard shall be provided on screens with required text fields.
UR-1217,An analog keyboard shall be provided.
UR-1220,The user shall be able to use either the virtual or analog keyboard to enter text into required text fields.
UR-1196,Touchscreen
UR-1204,The user shall be able to utilize the touchscreen to select all menu items.
PD-721,Data Security
PD-910,Encryption of Data
PD-698,All PHI at rest/in transit shall be encrypted.
PD-705,Patient exercise video shall be encrypted.
PD-911,System Timeout
PD-912,"If there's no user interaction, and the camera cannot see the user, for ten minutes, the system shall log the user out."
PD-913,The user shall be notified that they are logged out of the system due to inactivity.
PD-1292,Menu System Requirements
PD-1279,Interface
PD-925,"The patient application menus shall be operable with the standard Windows user interface, i.e. mouse, touchpad, and standard keyboard."
PD-1280,The Kinect interface shall only become active when beginning exercises for a therapy session.
PD-1281,Application Login
UR-1163,The Login screen shall appear when the application is launched.
UR-1166,The following functions shall be provided to the user:
UR-1167,Username text entry field
UR-1170,The text field shall support at least 128 characters to account for longer usernames.
UR-1168,"""Password"" alphanumeric and symbol text entry field with password masking functionality"
UR-1177,"The text field shall support at least 40 characters and uppercase letters, lowercase letters, numbers, and symbols."
UR-1169,"""Remember Me"" option"
UR-1173,This feature shall be enabled by default.
UR-1174,"If disabled, the user's username shall not be saved and any previously saved username shall be deleted."
UR-1171,"If enabled, the user's username shall appear automatically the next time the Patient Application is launched."
UR-1175,"""Forgot Password"" option"
UR-1176,The user shall be redirected to another application to request a password reset.
PD-923,Day View Screen
PD-629,The Day View screen shall provide the user the following functions:
PD-630,Start Exercise button
PD-632,The user shall be able to initiate exercise execution of the selected exercise and begin exercise session.
PD-633,Skip Exercise
PD-651,The next exercise in the session shall be highlighted.
PD-648,Report Pain
PD-653,The user shall be able to report any pain experienced on a numerical scale.
PD-649,End Session
PD-654,The user shall be directed to the logout confirmation screen.
PD-634,The user shall be provided an overview of the exercises in their exercise session.
PD-656,Each exercise shall be visually depicted with an associated exercise icon.
PD-643,The next exercise to be performed shall be highlighted.
PD-644,Exercise information regarding the highlighted exercise shall be provided.
PD-658,"The user shall be able to initiate execution of the highlighted exercise and begin the exercise session by selecting the ""Start Exercise"" button."
PD-727,Exercise Plan Scheduling
PD-970,The application shall wait for failed session uploads to complete before calculation of exercise plan scheduling.
PD-274,The system shall present to patients only those exercises that are available for the current day.
PD-971,"Exercises scheduled for ""every other day"" shall not be available on days immediately following days in which those exercises were performed."
PD-972,"""Every other day"" exercise scheduling shall be overridden by the clinician's assignment of a new therapy plan."
PD-974,"Exercises scheduled for ""every day"" shall be available every day."
PD-973,The user shall not have the ability to perform more than the number of sets assigned by the clinician for a given day.
PD-713,Exercise Instruction View
PD-715,Workout Set-Up
PD-774,"If exercise equipment is needed to perform the exercise, the following information regarding the exercise equipment shall be provided:"
