'temps'	'type'
1.59	'Cooler'
1.43	'Cooler'
1.88	'Cooler'
1.26	'Cooler'
1.91	'Cooler'
1.86	'Cooler'
1.9	'Cooler'
1.57	'Cooler'
1.79	'Cooler'
1.72	'Cooler'
2.41	'Cooler'
2.34	'Cooler'
0.83	'Cooler'
1.34	'Cooler'
1.76	'Cooler'
1.92	'Control'
2	'Control'
2.19	'Control'
1.12	'Control'
1.78	'Control'
1.84	'Control'
2.45	'Control'
2.03	'Control'
1.52	'Control'
0.53	'Control'
1.9	'Control'
2.86	'Control'
2.31	'Control'
1.91	'Control'
2.57	'Warmer'
2.6	'Warmer'
1.93	'Warmer'
1.58	'Warmer'
2.3	'Warmer'
0.84	'Warmer'
2.65	'Warmer'
0.12	'Warmer'
2.74	'Warmer'
2.53	'Warmer'
2.13	'Warmer'
