'elasticity'	'period'
10490	'1min'
16620	'1min'
17300	'1min'
15480	'1min'
12970	'1min'
17260	'1min'
13400	'1min'
13900	'1min'
13630	'1min'
13260	'1min'
14370	'1min'
11700	'1min'
15470	'1min'
17840	'1min'
14070	'1min'
14760	'1min'
9110	'4weeks'
13250	'4weeks'
14720	'4weeks'
12740	'4weeks'
10120	'4weeks'
14570	'4weeks'
11220	'4weeks'
11100	'4weeks'
11420	'4weeks'
10910	'4weeks'
12110	'4weeks'
8620	'4weeks'
12590	'4weeks'
15090	'4weeks'
10550	'4weeks'
12230	'4weeks'
