'Worker'	'energy'	'shovel_type'
1	0.0011	'Conventional'
2	0.0014	'Conventional'
3	0.0018	'Conventional'
4	0.0022	'Conventional'
5	0.001	'Conventional'
6	0.0016	'Conventional'
7	0.0028	'Conventional'
8	0.002	'Conventional'
9	0.0015	'Conventional'
10	0.0014	'Conventional'
11	0.0023	'Conventional'
12	0.0017	'Conventional'
13	0.002	'Conventional'
1	0.0011	'Perforated'
2	0.001	'Perforated'
3	0.0019	'Perforated'
4	0.0013	'Perforated'
5	0.0011	'Perforated'
6	0.0017	'Perforated'
7	0.0024	'Perforated'
8	0.002	'Perforated'
9	0.0013	'Perforated'
10	0.0013	'Perforated'
11	0.0017	'Perforated'
12	0.0015	'Perforated'
13	0.0013	'Perforated'
