'Motor'	'penetration'	'bearing'
1	211	'Commutator'
2	273	'Commutator'
3	305	'Commutator'
4	258	'Commutator'
5	270	'Commutator'
6	209	'Commutator'
7	223	'Commutator'
8	288	'Commutator'
9	296	'Commutator'
10	233	'Commutator'
11	262	'Commutator'
12	291	'Commutator'
13	278	'Commutator'
14	275	'Commutator'
15	210	'Commutator'
16	272	'Commutator'
17	264	'Commutator'
1	226	'Pinion'
2	278	'Pinion'
3	259	'Pinion'
4	244	'Pinion'
5	273	'Pinion'
6	236	'Pinion'
7	290	'Pinion'
8	287	'Pinion'
9	315	'Pinion'
10	242	'Pinion'
11	288	'Pinion'
12	242	'Pinion'
13	278	'Pinion'
14	208	'Pinion'
15	281	'Pinion'
16	274	'Pinion'
17	268	'Pinion'
