'Players'	'Pos_Dom_'	'Pos_ND_T'	'PIT_Dom_'	'Pit_ND_T'
1	30.31	32.54	27.63	24.33
2	44.86	40.95	30.57	26.36
3	22.09	23.48	32.62	30.62
4	31.26	31.11	39.79	33.74
5	28.07	28.75	28.5	29.84
6	31.93	29.32	26.7	26.71
7	34.68	34.79	30.34	26.45
8	29.1	28.87	28.69	21.49
9	25.51	27.59	31.19	20.82
10	22.49	21.01	36	21.75
11	28.74	30.31	31.58	28.32
12	27.89	27.92	32.55	27.22
13	28.48	27.85	29.56	28.86
14	25.6	24.95	28.64	28.58
15	20.21	21.59	28.58	27.15
16	33.77	32.48	31.99	29.46
17	32.59	32.48	27.16	21.26
18	32.6	31.61		
19	29.3	27.46		
