'roughness'	'stones'
5.74	'Sand'
2.07	'Sand'
3.29	'Sand'
0.75	'Sand'
1.23	'Sand'
2.95	'Sand'
1.58	'Sand'
1.83	'Sand'
1.61	'Sand'
1.12	'Sand'
2.91	'Sand'
3.22	'Sand'
2.84	'Sand'
1.97	'Sand'
2.48	'Sand'
3.45	'Sand'
2.17	'Sand'
0.77	'Sand'
1.44	'Sand'
3.79	'Sand'
0.56	'Shale'
0.84	'Shale'
0.4	'Shale'
0.55	'Shale'
0.36	'Shale'
0.72	'Shale'
0.29	'Shale'
0.47	'Shale'
0.66	'Shale'
0.48	'Shale'
0.28	'Shale'
0.72	'Shale'
0.31	'Shale'
0.35	'Shale'
0.32	'Shale'
0.37	'Shale'
0.43	'Shale'
0.6	'Shale'
0.54	'Shale'
0.43	'Shale'
0.51	'Shale'
