'Subject'	'time'	'change'
1	81	'before'
2	87	'before'
3	86	'before'
4	82	'before'
5	90	'before'
6	86	'before'
7	96	'before'
8	73	'before'
9	74	'before'
10	75	'before'
11	72	'before'
12	80	'before'
13	66	'before'
14	72	'before'
15	56	'before'
16	82	'before'
1	78	'after'
2	91	'after'
3	78	'after'
4	78	'after'
5	84	'after'
6	67	'after'
7	92	'after'
8	70	'after'
9	58	'after'
10	62	'after'
11	70	'after'
12	58	'after'
13	66	'after'
14	60	'after'
15	65	'after'
16	73	'after'
